baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Gene
125.4814747,0.029266175,0.068074451,0.429914225,0.667258037,0.999962279,WDR54
178.142635,0.071892913,0.064204675,1.119745775,0.262822113,0.999962279,CROT
46.58970339,0.321906437,0.18095805,1.778900894,0.075256011,0.999962279,ABCB4
4845.060401,0.035157463,0.051142281,0.687444175,0.491802868,0.999962279,KMT2E
723.7046179,-0.054845745,0.049921948,-1.098629911,0.271929526,0.999962279,RHBDD2
20.53238223,-0.096924356,0.183467482,-0.528291744,0.597296861,0.999962279,SOX8
741.9537483,-0.020298044,0.052630186,-0.385673035,0.699738836,0.999962279,IBTK
482.8475428,0.001609133,0.053801072,0.029908944,0.976139673,0.999962279,ZNF195
5204.471876,0.013892013,0.054789446,0.253552723,0.799841125,0.999962279,MYCBP2
1532.154804,0.07614698,0.079559124,0.957111845,0.338510806,0.999962279,FBXL3
14134.32211,0.011513126,0.0424622,0.271138231,0.786284719,0.999962279,ITGAL
245.251268,-0.018385435,0.050014125,-0.367604855,0.713167894,0.999962279,PDK2
71.24378829,-0.001202812,0.099209834,-0.012123919,0.990326749,0.999962279,ITGA3
1190.082898,-0.019808309,0.077237919,-0.256458353,0.797596935,0.999962279,ZFX
5870.988664,-0.003536673,0.105437997,-0.033542676,0.973241834,0.999962279,LAMP2
741.010753,-0.165535894,0.16307231,-1.015107309,0.310054678,0.999962279,ITGA2B
0.018182458,-0.002072178,3.362944454,-0.00061618,0.99950836,0.999962279,ASB4
1345.196326,-0.048085085,0.07001105,-0.686821364,0.492195305,0.999962279,GDE1
680.6804397,-0.001220047,0.072247817,-0.016886977,0.986526782,0.999962279,REX1BD
34.983643,0.132963922,0.113976017,1.166595615,0.243373715,0.999962279,CRLF1
569.7491749,0.051833057,0.068272502,0.759208399,0.447727902,0.999962279,OSBPL7
0.295322239,0.002468418,0.6341164,0.003892689,0.996894092,0.999962279,TMEM98
0.966754383,-0.44713025,0.404405802,-1.105647466,0.268879137,0.999962279,YBX2
0,NA,NA,NA,NA,NA,KRT33A
1071.613289,0.045895378,0.040650819,1.129014829,0.258891578,0.999962279,MAP3K14
0.05823201,-0.03075349,2.40756622,-0.012773684,0.989808352,0.999962279,ABCC8
0.065344796,-0.163623105,2.668900147,-0.061307316,0.951114464,0.999962279,CACNG3
11.987885,0.208958762,0.267343145,0.781612566,0.434442299,0.999962279,TMEM132A
3126.976533,-0.023511318,0.038057835,-0.617778661,0.536721252,0.999962279,AP2B1
0,NA,NA,NA,NA,NA,TAC1
604.506473,0.008980869,0.029440943,0.305046921,0.760330416,0.999962279,ZNF263
0.090529588,0.132315993,1.729183042,0.076519368,0.939005906,0.999962279,CX3CL1
519.2698757,-0.032444653,0.07649495,-0.424141101,0.671462912,0.999962279,SPATA20
0.058866423,-0.296491084,2.404389678,-0.123312409,0.901859715,0.999962279,CACNA1G
92.31728966,-0.004090617,0.120011526,-0.034085204,0.972809207,0.999962279,TNFRSF12A
0.122052586,-0.192307366,1.256802005,-0.153013255,0.878387822,0.999962279,DLX6
160.340617,0.093788575,0.07930607,1.18261534,0.23696163,0.999962279,MAP3K9
402.4578765,-0.0044582,0.045945163,-0.09703306,0.92270014,0.999962279,RALA
35.01114686,-0.038141543,0.108439068,-0.351732488,0.725038894,0.999962279,BAIAP2L1
3251.873111,0.009379606,0.074540088,0.125833044,0.899864085,0.999962279,KDM7A
3.06362403,0.111238236,0.266673486,0.417132718,0.676581335,0.999962279,ETV1
552.6083902,0.049859774,0.050261238,0.992012443,0.321191456,0.999962279,AGK
1148.594343,-0.155636176,0.080020237,-1.94496019,0.05177977,0.999962279,ALDH3B1
338.2323521,0.032859185,0.072735182,0.451764662,0.65143853,0.999962279,TTC22
747.4154151,0.079730691,0.047845489,1.666420252,0.09562974,0.999962279,PHTF2
0.026910595,0.056811045,3.362944454,0.016893245,0.986521782,0.999962279,CCL26
341.7581937,0.002226256,0.051782312,0.042992592,0.965707439,0.999962279,FARP2
0,NA,NA,NA,NA,NA,USH1C
136.3039614,0.012991882,0.045127439,0.287893172,0.773428514,0.999962279,GGCT
160.7531358,0.005411728,0.056603208,0.095608149,0.923831793,0.999962279,DBF4
23.78878373,0.359255355,0.12169686,2.952051154,0.003156706,0.999962279,TBXA2R
2347.961922,-0.157594771,0.100929832,-1.561429046,0.118422553,0.999962279,IFRD1
0.38409259,0.604658393,0.63930466,0.945806328,0.344247377,0.999962279,LGALS14
175.6270589,-0.002519812,0.044141098,-0.057085384,0.95447718,0.999962279,COX10
3.230950213,-0.050697778,0.235459066,-0.215314614,0.829522037,0.999962279,GTF2IRD1
943.5396438,0.0332994,0.044827424,0.742835471,0.457581297,0.999962279,PAF1
1189.211871,-0.003893897,0.067979803,-0.057280201,0.954321992,0.999962279,VPS41
11.53797909,-0.03080054,0.151516353,-0.203281952,0.838914662,0.999962279,ARHGAP44
668.807228,-0.045525446,0.038699348,-1.176387922,0.239439896,0.999962279,ELAC2
8.324234735,-0.031518574,0.16385748,-0.19235359,0.847465243,0.999962279,SCIN
534.7920087,-0.184033837,0.077103305,-2.386847581,0.016993535,0.999962279,ARSD
56.4873651,-0.128127104,0.087718904,-1.460655547,0.144109994,0.999962279,PNPLA4
0.015793951,-0.076056219,3.362944454,-0.02261596,0.981956612,0.999962279,MYH13
1172.107589,-0.042889748,0.048227285,-0.889325361,0.373828246,0.999962279,ADIPOR2
3.642728552,-0.118315887,0.226431638,-0.522523656,0.60130578,0.999962279,CDKL3
0.19043627,0.48713967,1.061845287,0.458767088,0.646401432,0.999962279,UPP2
28.89930523,-0.024906477,0.254770145,-0.09776058,0.92212241,0.999962279,PRSS21
698.5637437,0.016495518,0.068686848,0.240155415,0.810209776,0.999962279,MARK4
2.332343254,0.041713116,0.341511241,0.122142731,0.902785981,0.999962279,PROM1
313.5616193,-0.025869377,0.068860083,-0.375680303,0.707154583,0.999962279,CCDC124
226.421139,0.007556157,0.083535987,0.090453908,0.92792652,0.999962279,CEACAM21
3490.496874,0.009996283,0.043724466,0.228619906,0.819164351,0.999962279,PAFAH1B1
2.229979064,0.051403573,0.310281866,0.165667345,0.868418746,0.999962279,NOS2
0.824760766,-0.130817551,0.445977517,-0.293327682,0.769271697,0.999962279,DNAH9
3876.709143,0.004616133,0.026872424,0.171779561,0.863610835,0.999962279,BLTP2
0.008269367,-0.076055702,3.362944454,-0.022615807,0.981956735,0.999962279,SLC13A2
4154.039529,-0.11979363,0.079282561,-1.510970732,0.130795908,0.999962279,GAS7
159.0739312,-0.045837295,0.058964728,-0.777368039,0.436941663,0.999962279,TRAPPC6A
829.7308711,-0.076831771,0.099754379,-0.770209508,0.441175625,0.999962279,MATK
0.946181706,-0.147235491,0.423816749,-0.347403663,0.728288082,0.999962279,CEACAM7
671.4276525,0.381916543,0.133965304,2.85086162,0.004360094,0.999962279,CD79B
7.484812181,0.543224901,0.208020668,2.611398698,0.00901727,0.999962279,SCN4A
130.4589818,-0.024455281,0.065933143,-0.370910293,0.710704349,0.999962279,ST7L
122.3087774,-0.460668347,0.247669794,-1.860010216,0.062884081,0.999962279,TKTL1
0.343145828,-0.712824906,0.647815744,-1.100351316,0.271179082,0.999962279,PAX6
359.7641919,-0.02748671,0.05436132,-0.505629918,0.613116475,0.999962279,RPUSD1
1.422169892,-0.003942595,0.312353218,-0.012622233,0.989929183,0.999962279,RHBDF1
1160.234014,0.075831802,0.051247796,1.479708546,0.138951044,0.999962279,LUC7L
396.0240255,0.027398737,0.118812845,0.230604167,0.81762233,0.999962279,CACNA2D2
470.2051194,-0.225759968,0.167676601,-1.346401149,0.178173181,0.999962279,BAIAP3
487.1380136,-0.032482023,0.053681811,-0.605084331,0.545122965,0.999962279,TSR3
441.1985355,0.040330262,0.053034268,0.760456659,0.446981667,0.999962279,PIGQ
931.8827431,0.03351854,0.035834618,0.935367569,0.349598904,0.999962279,CRAMP1
5.950377809,0.268750873,0.232409615,1.156367274,0.247530962,0.999962279,TEAD3
0.395950382,0.094220577,0.601494981,0.156643995,0.875525428,0.999962279,SELE
681.2373406,0.024637254,0.043152085,0.57094006,0.568040274,0.999962279,DNAJC11
0.039605434,0.071913987,2.848609047,0.025245299,0.979859305,0.999962279,FMO3
1392.424774,-0.006655534,0.082599118,-0.080576331,0.93577889,0.999962279,MYLIP
0.615241063,0.038267507,0.498827656,0.076714887,0.938850361,0.999962279,NOX1
178.9871658,-0.00847192,0.079388899,-0.10671417,0.91501574,0.999962279,E2F2
1129.334205,-0.063113596,0.028201147,-2.237979728,0.025222377,0.999962279,PSMB1
5.487882346,0.066785439,0.212699683,0.313989368,0.753529114,0.999962279,SYN1
2449.829275,0.055357082,0.069534631,0.796108085,0.425969215,0.999962279,JARID2
343.8439387,0.037785523,0.105806825,0.357118007,0.721003464,0.999962279,CDKL5
